CDS,ID,PhageDPO_score
19,F416_gp019_QueC-like queuosine biosynthesis,62.0
30,F416_gp030_baseplate tail tube cap,76.0
32,F416_gp032_tail protein,68.0
42,F416_gp042_hypothetical protein,65.0
66,F416_gp066_NrdA-like aerobic NDP reductase large subunit,54.0
84,F416_gp084_hypothetical protein,84.0
97,F416_gp097_hypothetical protein,57.0
104,F416_gp104_MazG-like pyrophosphatase,57.0
107,F416_gp107_clamp loader of DNA polymerase,72.0
121,F416_gp121_major head protein,63.0
128,F416_gp128_tail sheath protein,80.0
135,F416_gp135_hypothetical protein,95.0
136,F416_gp136_tail protein,99.0
137,F416_gp137_tail protein,98.0
138,F416_gp138_tail spike protein,98.0
139,F416_gp139_haemolysin-type calcium binding,100.0
140,F416_gp140_hypothetical protein,87.0
142,F416_gp142_baseplate wedge subunit,76.0
161,F416_gp161_hypothetical protein,78.0
