CDS,ID,PhageDPO_score
13,Phi13:1_gp013_hypothetical protein,66.0
15,Phi13:1_gp015_structural protein,99.0
16,Phi13:1_gp016_structural protein,76.0
17,Phi13:1_gp017_structural protein,73.0
18,Phi13:1_gp018_structural protein,97.0
24,Phi13:1_gp024_SGNH hydrolase,100.0
32,Phi13:1_gp032_GTP cyclohydrolase I,54.0
38,Phi13:1_gp038_DNA polymerase III alpha subunit,78.0
39,Phi13:1_gp039_DNA polymerase III alpha subunit,69.0
63,Phi13:1_gp063_A1-like protein,55.0
72,Phi13:1_gp072_hypothetical protein,90.0
