CDS,ID,PhageDPO_score
6,Ea357_006_virion structural protein,54.0
16,Ea357_016_hypothetical protein,73.0
18,Ea357_018_virion structural protein,79.0
19,Ea357_019_hypothetical protein,99.0
20,Ea357_020_hypothetical protein,99.0
50,Ea357_050_hypothetical protein,70.0
61,Ea357_060A_HNH endonuclease,52.0
77,Ea357_076_EPS depolymerase,95.0
147,Ea357_146_ribonuclease,86.0
160,Ea357_159_hypothetical protein,68.0
161,Ea357_160_hypothetical protein,73.0
167,Ea357_166_hypothetical protein,81.0
179,Ea357_177_tail sheath,76.0
181,Ea357_179_hypothetical protein,52.0
182,Ea357_180_virion structural protein,91.0
187,Ea357_185_hypothetical protein,53.0
223,Ea357_220_RNA polymerase beta subunit,66.0
245,Ea357_242_hypothetical protein,83.0
291,Ea357_287_hypothetical protein,62.0
295,Ea357_291_hypothetical protein,54.0
302,Ea357_298_tail fiber protein,78.0
305,Ea357_301_virion structural protein,72.0
317,Ea357_313_major head protein,82.0
