CDS,ID,PhageDPO_score
41,LU11_gp041_hypothetical protein,52.0
55,LU11_gp055_PmgG-like head morphogenesis,70.0
61,LU11_gp061_tail sheath,84.0
80,LU11_gp080_hypothetical protein,98.0
128,LU11_gp128_hypothetical protein,60.0
188,LU11_gp188_terminase large subunit,79.0
190,LU11_gp190_hypothetical protein,54.0
233,LU11_gp233_tail protein,74.0
236,LU11_gp236_hypothetical protein,51.0
239,LU11_gp239_hypothetical protein,90.0
242,LU11_gp242_hypothetical protein,100.0
243,LU11_gp243_tail fiber protein,91.0
244,LU11_gp244_hypothetical protein,99.0
246,LU11_gp246_tail sheath,79.0
247,LU11_gp247_tail sheath,66.0
248,LU11_gp248_hypothetical protein,91.0
250,LU11_gp250_hypothetical protein,95.0
251,LU11_gp251_hypothetical protein,89.0
255,LU11_gp255_virion structural protein,51.0
345,LU11_gp345_hypothetical protein,68.0
