CDS,ID,PhageDPO_score
72,G377_gp197_Sir2 (NAD-dependent deacetylase),83.0
88,G377_gp181_histidyl tRNA synthetase,57.0
96,G377_gp173_PhoH-like phosphate starvation-inducible,57.0
100,G377_gp169_nucleotide-sugar epimerase,73.0
103,G377_gp166_nucleotide-sugar epimerase,65.0
147,G377_gp119_terminase large subunit,57.0
158,G377_gp108_tail sheath,84.0
165,G377_gp101_baseplate hub,63.0
169,G377_gp097_tail protein,95.0
170,G377_gp096_hypothetical protein,87.0
171,G377_gp095_tail protein,99.0
173,G377_gp093_baseplate wedge subunit,74.0
175,G377_gp091_tail fiber protein,90.0
178,G377_gp088_colanic acid degradation,99.0
179,G377_gp087_tail fiber protein,91.0
180,G377_gp086_tail protein,100.0
190,G377_gp076_putative primase/helicase,55.0
214,G377_gp052_membrane protein,56.0
222,G377_gp044_anaerobic ribonucleoside reductase large subunit,51.0
223,G377_gp043_ribonucleotide reductase,57.0
252,G377_gp014_ATPase,79.0
253,G377_gp013_endonuclease,81.0
