CDS,ID,PhageDPO_score
16,ACQ19_gp016_head decoration,70.0
19,ACQ19_gp019_tail fiber protein,53.0
23,ACQ19_gp023_hypothetical protein,55.0
27,ACQ19_gp027_tail sheath,89.0
37,ACQ19_gp037_tail fiber protein,82.0
38,ACQ19_gp038_tail protein,97.0
39,ACQ19_gp039_colanic acid degradation,95.0
40,ACQ19_gp040_baseplate wedge subunit,56.0
42,ACQ19_gp042_tail fiber protein,80.0
47,ACQ19_gp047_tail fiber protein,57.0
48,ACQ19_gp048_tail protein,62.0
78,ACQ19_gp078_DNA methyltransferase,70.0
153,ACQ19_gp153_endonuclease,65.0
228,ACQ19_gp228_hypothetical protein,61.0
