CDS,ID,PhageDPO_score
60,CampHawk_60_hypothetical protein,91.0
61,CampHawk_61_tail spike protein,86.0
62,CampHawk_62_tail spike protein,88.0
67,CampHawk_67_ribonucleotide reductase large subunit,79.0
80,CampHawk_80_hypothetical protein,66.0
87,CampHawk_87_tail protein with lysin activity,80.0
90,CampHawk_90_hypothetical protein,54.0
91,CampHawk_91_baseplate protein,55.0
95,CampHawk_95_tail protein,70.0
97,CampHawk_97_tail fiber protein,99.0
98,CampHawk_98_hypothetical protein,69.0
99,CampHawk_99_tail spike protein,100.0
102,CampHawk_102_tail spike protein,100.0
