CDS,ID,PhageDPO_score
10,BPS10C_010_nicotinamide phosphoribosyl transferase,57.0
222,BPS10C_222_putative deoxyuridine 5'-triphosphate nucleotidohydrolase,52.0
237,BPS10C_237_DUF4815 domain-containing protein,93.0
238,BPS10C_238_hypothetical protein,97.0
239,BPS10C_239_baseplate J/gp47 family protein,54.0
240,BPS10C_240_baseplate protein,54.0
242,BPS10C_242_virion structural protein,53.0
245,BPS10C_245_tail protein,90.0
246,BPS10C_246_tail fiber protein,95.0
247,BPS10C_247_tail protein with lysin activity,77.0
251,BPS10C_251_L-alanyl-D-glutamate peptidase,62.0
255,BPS10C_255_tail sheath,61.0
268,BPS10C_268_tail spike protein,96.0
