CDS,ID,PhageDPO_score
7,PI33_gp007_NrdA-like aerobic NDP reductase large subunit,58.0
35,PI33_gp035_hypothetical protein,53.0
51,PI33_gp051_tail protein,60.0
53,PI33_gp053_baseplate tail tube cap,76.0
88,PI33_gp088_hypothetical protein,85.0
107,PI33_gp107_hypothetical protein,55.0
112,PI33_gp196_hypothetical protein,77.0
114,PI33_gp194_hypothetical protein,95.0
115,PI33_gp193_tail protein,100.0
116,PI33_gp192_tail fiber protein,98.0
118,PI33_gp190_tail fiber protein,100.0
119,PI33_gp189_tail fiber protein,100.0
120,PI33_gp188_vrlC protein,96.0
129,PI33_gp179_phage tail sheath protein,78.0
138,PI33_gp170_major head protein,58.0
157,PI33_gp151_clamp loader of DNA polymerase,75.0
184,PI33_gp124_hypothetical protein,85.0
