CDS,ID,PhageDPO_score
28,Maynard_28_pyridoxal-phosphate dependent enzyme,52.0
35,Maynard_35_baseplate wedge subunit,78.0
37,Maynard_37_hypothetical protein,93.0
38,Maynard_38_tail protein,100.0
39,Maynard_39_tail spike protein,98.0
40,Maynard_40_tail fiber protein,96.0
41,Maynard_41_tail protein,99.0
42,Maynard_42_hypothetical protein,95.0
51,Maynard_51_tail sheath protein,79.0
59,Maynard_59_major capsid protein,56.0
68,Maynard_68_hypothetical protein,54.0
76,Maynard_76_clamp loader of DNA polymerase,75.0
87,Maynard_87_vWFA domain containing protein,52.0
124,Maynard_124_NrdA-like aerobic NDP reductase large subunit,58.0
151,Maynard_151_hypothetical protein,51.0
168,Maynard_168_tail protein,61.0
170,Maynard_170_baseplate tail tube cap,76.0
200,Maynard_200_RIIB lysis inhibitor,58.0
