CDS,ID,PhageDPO_score
9,PVP-SE1_gp009_DNA methyltransferase,74.0
39,PVP-SE1_gp039_tail protein,62.0
40,PVP-SE1_gp040_tail fiber protein,57.0
45,PVP-SE1_gp045_tail fiber protein,79.0
47,PVP-SE1_gp047_baseplate wedge subunit,56.0
48,PVP-SE1_gp048_colanic acid degradation,95.0
49,PVP-SE1_gp049_tail protein,95.0
50,PVP-SE1_gp050_tail fiber protein,82.0
60,PVP-SE1_gp060_tail sheath,89.0
64,PVP-SE1_gp064_hypothetical protein,55.0
68,PVP-SE1_gp068_tail fiber protein,53.0
71,PVP-SE1_gp071_head decoration,70.0
97,PVP-SE1_gp097_hypothetical protein,61.0
