CDS,ID,PhageDPO_score
8,Marshall_8_hypothetical protein,69.0
29,Marshall_29_hypothetical protein,61.0
35,Marshall_35_baseplate wedge subunit,78.0
37,Marshall_37_hypothetical protein,93.0
38,Marshall_38_tail protein,100.0
39,Marshall_39_tail spike protein,97.0
40,Marshall_40_tail fiber protein,96.0
41,Marshall_41_tail fiber protein,100.0
42,Marshall_42_hypothetical protein,95.0
51,Marshall_51_tail sheath protein,79.0
59,Marshall_59_major capsid protein,56.0
68,Marshall_68_hypothetical protein,52.0
76,Marshall_76_clamp loader of DNA polymerase,73.0
87,Marshall_87_hypothetical protein,52.0
124,Marshall_124_NrdA-like aerobic NDP reductase large subunit,58.0
170,Marshall_170_tail protein,61.0
172,Marshall_172_baseplate tail tube cap,76.0
182,Marshall_182_QueC-like queuosine biosynthesis,65.0
