CDS,ID,PhageDPO_score
58,G173_gp058_EPS depolymerase,97.0
60,G173_gp060_virion structural protein,73.0
62,G173_gp062_virion structural protein,80.0
63,G173_gp063_virion structural protein,59.0
65,G173_gp065_virion structural protein,89.0
67,G173_gp067_putative virion structural protein,64.0
69,G173_gp069_virion structural protein,94.0
70,G173_gp070_putative virion structural protein,97.0
71,G173_gp071_putative virion structural protein,92.0
72,G173_gp072_virion structural protein,78.0
73,G173_gp073_putative virion structural protein,59.0
74,G173_gp074_putative virion structural protein,62.0
77,G173_gp077_tail assembly chaperone,55.0
80,G173_gp080_hypothetical protein,56.0
90,G173_gp090_hypothetical protein,99.0
91,G173_gp091_virion structural protein,90.0
92,G173_gp092_virion structural protein,96.0
101,G173_gp101_hypothetical protein,64.0
105,G173_gp105_hypothetical protein,54.0
144,G173_gp144_hypothetical protein,55.0
158,G173_gp158_hypothetical protein,52.0
176,G173_gp176_putative virion structural protein,65.0
177,G173_gp177_virion structural protein,90.0
188,G173_gp188_hypothetical protein,84.0
204,G173_gp204_hypothetical protein,84.0
213,G173_gp213_hypothetical protein,80.0
232,G173_gp232_phage virion structural protein,54.0
233,G173_gp233_phage virion structural protein,60.0
234,G173_gp234_phage virion structural protein,63.0
246,G173_gp246_virion structural protein,60.0
251,G173_gp251_hypothetical protein,80.0
261,G173_gp261_major head protein,53.0
