CDS,ID,PhageDPO_score
1,ACQ29_gp001_YadA domain protein,76.0
3,ACQ29_gp003_hypothetical protein,83.0
4,ACQ29_gp004_hypothetical protein,98.0
19,ACQ29_gp019_tail tube protein,87.0
22,ACQ29_gp022_tail sheath,78.0
63,ACQ29_gp063_tail protein,95.0
64,ACQ29_gp064_tail fiber protein,69.0
71,ACQ29_gp071_hypothetical protein,98.0
72,ACQ29_gp072_hypothetical protein,51.0
73,ACQ29_gp073_hypothetical protein,98.0
76,ACQ29_gp076_NrdD-like anaerobic ribonucleotide reductase large subunit,88.0
86,ACQ29_gp086_WGR domain-containing protein,68.0
91,ACQ29_gp091_PhoH-like phosphate starvation-inducible,82.0
95,ACQ29_gp095_Sir2 (NAD-dependent deacetylase),92.0
97,ACQ29_gp097_protease,53.0
163,ACQ29_gp163_hypothetical protein,66.0
170,ACQ29_gp170_hypothetical protein,54.0
286,ACQ29_gp286_regulator of chromosome condensation,71.0
287,ACQ29_gp287_regulator of chromosome condensation,97.0
288,ACQ29_gp288_regulator of chromosome condensation,80.0
289,ACQ29_gp289_regulator of chromosome condensation,93.0
290,ACQ29_gp290_regulator of chromosome condensation,96.0
291,ACQ29_gp291_regulator of chromosome condensation,86.0
292,ACQ29_gp292_regulator of chromosome condensation,97.0
294,ACQ29_gp294_regulator of chromosome condensation,93.0
295,ACQ29_gp295_regulator of chromosome condensation,92.0
296,ACQ29_gp296_regulator of chromosome condensation,98.0
297,ACQ29_gp297_hypothetical protein,54.0
306,ACQ29_gp306_endonuclease,90.0
368,ACQ29_gp368_virion structural protein,61.0
451,ACQ29_gp451_virion structural protein,91.0
452,ACQ29_gp452_topoisomerase II medium subunit,68.0
454,ACQ29_gp454_virion structural protein,73.0
475,ACQ29_gp475_exonuclease,51.0
486,ACQ29_gp486_virion structural protein,63.0
515,ACQ29_gp515_tail fiber protein,69.0
533,ACQ29_gp533_virion structural protein,76.0
534,ACQ29_gp534_baseplate hub subunit and tail lysozyme,96.0
537,ACQ29_gp537_baseplate wedge subunit,85.0
540,ACQ29_gp540_virion structural protein,72.0
541,ACQ29_gp541_tail sheath,57.0
543,ACQ29_gp543_virion structural protein,67.0
544,ACQ29_gp544_hypothetical protein,91.0
546,ACQ29_gp546_tail protein,95.0
547,ACQ29_gp547_colanic acid degradation,100.0
548,ACQ29_gp548_virion structural protein,68.0
