CDS,ID,PhageDPO_score
38,PHI92_gp056_Sir2 (NAD-dependent deacetylase),84.0
51,PHI92_gp073_histidyl tRNA synthetase,57.0
64,PHI92_gp086_nucleotide-sugar epimerase,89.0
109,PHI92_gp132_nicotinamide phosphoribosyl transferase,58.0
131,PHI92_gp266_tail sheath,91.0
138,PHI92_gp258_baseplate hub,81.0
142,PHI92_gp251_tail protein,99.0
143,PHI92_gp250_Phi92_gp142,93.0
144,PHI92_gp248_tail protein,98.0
146,PHI92_gp242_baseplate wedge subunit,90.0
148,PHI92_gp240_tail fiber protein,98.0
151,PHI92_gp236_colanic acid degradation,99.0
152,PHI92_gp235_tail fiber protein,86.0
162,PHI92_gp225_Phi92_gp161,71.0
183,PHI92_gp204_membrane protein,82.0
186,PHI92_gp201_phosphatase,63.0
223,PHI92_gp163_ATPase,54.0
224,PHI92_gp161_endonuclease,68.0
