CDS,ID,PhageDPO_score
6,G646_gp006_hypothetical protein,53.0
30,G646_gp030_putative tail fiber,92.0
31,G646_gp031_virion structural protein,99.0
34,G646_gp034_tail spike protein,98.0
37,G646_gp037_putative pectate lyase,95.0
38,G646_gp038_tail spike protein,99.0
41,G646_gp041_hypothetical protein,100.0
45,G646_gp045_VrlC,95.0
52,G646_gp052_tail sheath protein,81.0
53,G646_gp053_homing endonuclease,53.0
61,G646_gp061_major capsid protein,59.0
71,G646_gp071_hypothetical protein,88.0
78,G646_gp078_DNA polymerase processivity factor,53.0
88,G646_gp088_hypothetical protein,64.0
106,G646_gp106_hypothetical protein,76.0
126,G646_gp126_endolysin,66.0
134,G646_gp134_baseplate hub subunit and tail lysozyme,74.0
164,G646_gp164_DNA ligase,52.0
170,G646_gp170_baseplate tail tube cap,54.0
