CDS,ID,PhageDPO_score
10,OZ74_gp010_nucleotide-sugar epimerase,56.0
25,OZ74_gp025_dehydrogenase,84.0
48,OZ74_gp048_ribonucleotide reductase large subunit,60.0
71,OZ74_gp071_hypothetical protein,66.0
72,"OZ74_gp072_beta-1,4 xylanase",63.0
121,OZ74_gp121_inositol-1-phosphate synthase,74.0
129,OZ74_gp129_putative SNF2 DNA repair protein,55.0
153,OZ74_gp153_hydrolase,94.0
160,OZ74_gp160_DNA helicase,61.0
180,OZ74_gp278_major head protein,96.0
187,OZ74_gp271_tail sheath,96.0
205,OZ74_gp253_hypothetical protein,77.0
207,OZ74_gp251_hypothetical protein,98.0
208,OZ74_gp250_hypothetical protein,98.0
209,OZ74_gp249_baseplate wedge subunit,94.0
210,OZ74_gp248_baseplate wedge subunit,98.0
211,OZ74_gp247_baseplate wedge subunit,84.0
216,OZ74_gp242_baseplate hub subunit and tail lysozyme,94.0
253,OZ74_gp205_tail tape measure protein,63.0
